,Unnamed: 0,user,date,text,location,coordinates
82,82,klauseshybrid,Wed Jul 24 20:34:45 +0000 2019,"RT @peta: VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its #UnitedVacations w…",istanbul,
83,83,UnitedFlyerHD,Wed Jul 24 20:34:34 +0000 2019,RT @EAA: A @united Airlines Boeing 787 Dreamliner has arrived in Oshkosh for #OSH19! Catch it on Boeing Plaza today as part of our WomenVen…,"Houston, Texas, United States",
3,3,csilcox2401,Thu Jul 25 23:58:58 +0000 2019,RT @TheOrcaProject: BREAKING: @United Airlines has stopped selling tickets to @SeaWorld due to animal cruelty concerns. The airline has als…,,
4,4,Mat2max,Thu Jul 25 23:55:42 +0000 2019,@UG_Airlines This must stop...judging from reaction of majority Kigali must be included....you are failing a united East Africa community!😠,,
5,5,Miss_Solstar,Thu Jul 25 23:54:32 +0000 2019,"RT @WorldAnimalNews: Breaking! @United Airlines has stopped selling tickets to @SeaWorld 🙏🐬

We applaud #UnitedAirlines for taking this sta…",,
6,6,di_dancin,Thu Jul 25 23:51:41 +0000 2019,RT @TheOrcaProject: BREAKING: @United Airlines has stopped selling tickets to @SeaWorld due to animal cruelty concerns. The airline has als…,,
7,7,DidiFrench,Thu Jul 25 23:48:49 +0000 2019,RT @XposeTrophyHunt: United Airlines announced it has stopped selling tickets to SeaWorld. Thomas Cook and Virgin plus about 6 other airlin…,Australia,
8,8,roemer_doris,Thu Jul 25 23:48:31 +0000 2019,RT @TheOrcaProject: BREAKING: @United Airlines has stopped selling tickets to @SeaWorld due to animal cruelty concerns. The airline has als…,,
9,9,DidiFrench,Thu Jul 25 23:48:29 +0000 2019,"RT @OrcaSOS: Thank you so much @United Airlines! More people than you know fly compassionate airlines, and refuse to attend the cruel #SeaC…",Australia,
10,10,ruth1722,Thu Jul 25 23:48:23 +0000 2019,RT @TheOrcaProject: BREAKING: @United Airlines has stopped selling tickets to @SeaWorld due to animal cruelty concerns. The airline has als…,Sheffield and London,
